Username,Date,Comment
fathming,14-01-2024,Performance:overalls good Stability:steady good stability  Bungkusan Terbaik memang puas hati.. Penghantaran cepat.. Kualiti baik.. plastik keras.. suction melekat elok jee.. Puas hati beli.. recommended.. Cuma ada bunyi bergegar sikit bila tak buh phone masa drive keta but ok laa tak menganggu sangat.. Thanks seller..
zyqagoguma,07-03-2024,"Superb packaging, really worth the price for me. Before nih selalu beli dekat mr diy semua tak tahan lama. So, this one okay barang dia firm tak ringan sangat."
n.hijrah96,13-03-2024,"Stability:Sturdy, strong adhesive suction Performance:Flexible  Berpuas hati dengan produk sebab stabil & kukuh. Gam dia pun melekat kuat. Selama ni beli kat DIY, semua tak stabil & tak flexible, pastu membazir je tak pakai. Cuma itu laa, dashboard kereta jenis berbukit2 bahagian tengah sampai terpaksa juga ubah letak kat tepi driver😅 Kalau tak, view jalan kena block dengan phone holder ni.   ‼️ EDITED  ON 23/5/2023 ‼️ Tak boleh biar kereta kena tempat panas sebab nanti tercabut jugak🥴"
z*****q,28-06-2023,Stability:Excellent Performance:Excellent  Barang Ugreen tak payah nak review pun dah tahu ngam. Dah banyak dah beli barang brand ugreen. Tak pernah mengecewakan. Order je jangan ragu-ragu
ariffsaid,16-09-2022,"Performance:Good  Fast shipping by seller, and courier was fast at delivery. Packaging was fair and product is as advertised and fair quality for the price paid."
s*****e,12-01-2024,Performance:bagus Stability:kukuh la kot  Barang sudah di terima. Penghantaran pantas. Barang dalam keadaan baik. Tiada kerosakan. Cantik dan simple. Dapat harga diskaun. Puas hti. Terima kasih.
e*****r,09-02-2024,High quality. Wiggly when car moves but still holds the phone securely. Not too big. Sucks to mirror strongly but not to the dashboard surface. Need smooth and glossy surface. Easy to install. Overall really recommended.
amirul1aiman,10-08-2022,"Performance:nice Stability:good  Excellent quality, very accommodating seller, well packaged, item shipped immediately, will order again.😜   ""manaa ada ini mcm tengk, ni mcm pun bule kerja ka aaayyy.  Tgk org kerja ayyyy...banyaklah.. baguslah.. tgk dia kerja mcm mana... Bersantaii....rancak berdosa.. na amikkkk"
heng3110,05-02-2024,"Received the item safely, the suction is strong ans sticky to prevent fall down and the holder extendable and the clamper is strong to hold the phone"
h*****p,12-12-2023,Performance:have not fixed in car yet Stability:have not tried but the product feels stable  Delivery was fast and goods received in good order. The product is steady and not flimsy.
pavanjit12,17-03-2024,Thank you so much Seller for fast delivery and cool service. Really appreciated and very happy to receive the product in great condition and great packaging service. Take care and stay safe ya 😍😍👍👍❤️❤️👌🙏😉☺️🙂
h*****n,14-02-2024,"Awesome product, packaging was wrapped with bubble wrap Product come in good shape. Thanks for the free gifts. Very recommended. Will reordering again. Thank you! Good producr quality,good value for money"
meiyoujiecaodeyang,21-08-2023,"Performance:Good Stability:Good  盒子美麗四角尖尖，物流快速，賣家出貨速度快，包裝優美，細心，非常好的賣家，下次還會繼續光臨很棒，產品優秀，謝謝賣家的細心。感激。 The box is beautiful with sharp corners, fast logistics, fast delivery by the seller, beautiful packaging, careful, very good seller, will continue to visit next time, the product is excellent, thank you for your care and appreciation."
izransarrazin,06-09-2023,I've tried many phone holders for my car before and this is the best I've found so far. Very good quality. Feels sturdy. The suction cup is very strong and does not fall off even on bumpy roads and hot weather. Fast shipping too 👍👍
syncomp,02-01-2024,"Performance:Mantap Stability:Sangat stabil  Mantap. Stabil. One hand use. Cuma release button ada kat belakang, kat center. Jadi kerap kali akan sentuh skrin untuk release phone. Ada satu jenis drpd ugreen juga, release button ada kat tepi. Yg tu lebih convenient. Cuma penghantaran seller selamat. Bubble wrap"
zuelmk,12-09-2022,Performance:Excellent Stability:Sturdy  All items received in good condition and nice packaging. Items working well as advertised7. Recommended seller and will buy again next time. Fast delivery too.
n*****5,22-03-2024,Item received in good condition & it worked perfectly in my Alza. It mounted properly on my dashboard & distance can be adjusted. Hope this can last longer
d*****r,16-12-2023,"barang diterima dlm keadaan yg sangat memuaskan. tiada cacat cela, tiada kerosakkan. packaging baik drpd seller. penghantaran pun pantas. apa2 pun mmg puas hati dgn produk dr kedai ni, siap dpt warranty lg 2 tahun. really recommend this shop!! thanks seller!!"
e*****a,27-02-2023,"Performance:Best Stability:Steady bom bibi  Receive in good condition and fast delivery(⁠ᵔ⁠ᴥ⁠ᵔ⁠) and the phone holder joint is so solid, and after put phone on top is so stable(⁠≧⁠(⁠ｴ⁠)⁠≦⁠ ⁠)"
hasanahg,14-01-2024,Performance:so far ok Stability:good  Received with thanks. This is going to be a replacement for the one we are currently using. Easy to assemble and install.
aqilrf,25-11-2023,Performance:Pretty tough Stability:Ok if your phone not that heavy <200g range  The quality is solid typical from ugreen. The suction cup also quite good because the rubber is sticky so you can use it on the dashboard but it does wobbles a bit if your phone is heavy. Thanks seller
a*****t,05-09-2023,"Stability:item premium Performance:sangat membantu semasa drive  Item selamat mendarat , postage terbaik laju , oder hrini esok dah smpai , sape2 yg mmcari phone mount ni blh beli yg ni , brg cantik n kualiti..nt boleh repeat lagi ..tq seller😘"
y*****n,02-03-2024,Performance:Feels solid & easy to use Stability:Holds phone very stable  Item received very fast and good packaging. Very firm & steady holding the phone while driving. Good quality
imranradzi,09-07-2023,"Performance:flexible Stability:sturdy  reliable and flexible.. it has few locking mechanism to hold the phone in certain styles.. i like it boxing packaging also neat and secured. feels premium quality.. no regret, tq seller for the good product & services 👍🏻"
n*****i,21-08-2023,"Performance:very good Stability:vry good  First time beli dapat yang betul2 stabil macam ni, design lawa, n bukak die pun senang maim picit kat brlakang.. xdela penat2 nak bukak.. sgt berpuas hati. Harap tahan lama"
nasyaseman,09-05-2023,Performance:kemas elegant Stability:kuat suction  cantik gila colour n design dia.. memang nampak mewah. seller pulak pantas tahap kilat. mmg akan repeat lg utk setiap car yg ada. tq seller
a*****c,09-11-2022,"Performance:good product. But if your car parks under hot sun, it may sometimes fall off . Stability:steady  and good.  Good seller. Delivery is fast. Goods were well wrapped and packed. Received the goods in good condition! Good quality product. Bought many times. It may last approximately a year or less depending if your car always parks under hot sun.."
k*****p,12-12-2022,Performance:looks sturdy Stability:not yet tried  Based on review it said to be the best and  sturdy phone holder. Hopefully will support my phone later. Thank you seller. Received in good condition.
ajwadhamid,05-11-2023,Performance:Seem Good Stability:Ok Keras Jugak Tapi Xtahu La Overtime  Thanks UGreen For Resolve My Problem Barang Sampai Dalam Keadaan Packaging Yang Kemas Dan Selamat Sampai Thanks!
muhdaimankmsrn,04-09-2021,Kualiti produk baik. Harga murah. Penghantaran yang pantas. Layanan penjual yang baik. Menyesal kalau tak beli.  Baik kualiti produk. Murahnya harga. Pantas penghantarannya. Baik layanan dari penjual. Tak menyesal beli.  Jangan lupa ambil vaksin untuk capai ketahanan berkelompok. Kekal hidup dan k
a*****n,28-02-2022,"Excellent quality, very accommodating seller, well packaged, item shipped immediately, will order again  Suction is pretty strong can hold my heavy iPhone 12 pro max 💪"
nadzreen95,01-03-2022,Barang sampai dalam keadaan baik. Postage pun laju. Puas hati dengan kualiti barang drpd ugreen. Dh macam2 barang saya beli. Phone holder ni pun dh pernah beli drpd yg version lama. Terbaikkkk
alissandi,21-08-2023,Performance:Best Stability:awesome  I tried used it already but couldn't get the evidence. It suction works superbly. I like that the neck is extendable. The phone holder could rotate to adjust to my eyesight easily and holds it (u still need to loosen/ tighten the screw when adjusting). I like it very much.
aszaliesmali,17-05-2023,Stability:goos Performance:good  Item received with good condition. Delivery also fast. Overall are good. Anyway still not try it but look on the review overall ok.
m*****m,21-08-2023,"Stability:kukuh Performance:terbaik  Sangat berbaloi sebab gam dia kuat, nak cabut pun susah, cuma ada goyang jugak la dengan keadaan jalan malaysia faham faham je la kan, btw product ugreen ni memang terbaik. Sangat recommend untul beli"
r*****y,22-02-2023,"Performance:very good Stability:biasa jer  Fast delivery. Mula2 pasang memang melekat kuat tapi bila dh berjemur, terus tak melekat. 😅 tak pe lah, nak buat macam mana. Janji quality tip top"
fharz_,17-02-2023,"Performance:⭐⭐⭐⭐⭐ Stability:⭐⭐⭐⭐⭐  Srsly sgt2 recommend !! Tak menyesal beli . Bnyk holder yg aku beli semua tauk tepi sbb murah , review elok tpi harga murah tolong jgn beli . Baik beli mahal mcm ni kualiti pun setimpal dgn harga 👍🏻 . Smpai dh 2 minggu siap test drive kedah - perak steady elok ja lngsung tk jatuh ⭐⭐⭐⭐⭐👍🏻👍🏻 . Parcel secure dgn baik ,thanks seller 👍🏻"
mohammadafzainizambinariffin,12-03-2024,"Saya suka beli dengan u green. Kualiti dia premium. Suction dia kalau kat dashboard kereta memang kuat,tahan lama. Penjual buat kerja laju. Kemarin order hari ni dah sampai"
nasir_7,13-09-2022,"Performance:quite good Stability:not bad  good product quality, good value for money, fast delivery by J&T EXPRESS superb !!! if Shopee Express is TOO SLOWWW 🤣"
ahmadafiqshah,23-02-2021,Share ur experience & help others to make a better choices.!  Product quality is👌🏻👍🏻✌🏻 Good value for money💰 Box secured✅ Awesome 'honeycomb paper' wrapped✅ Received in good conds✅ Fast response + Fast shipout + Fast delivery 📦🚛 Recommended 🎉🎉
p*****3,08-03-2024,"Performance:Quick delivery  Package arrived pretty quickly and the quality of the phone stand is pretty good. It doesn’t feel flimsy at all. Overall, I am satisfied"
2*****y,24-12-2023,Good quality! Smooth delivery. Solid packaging. The item is exactly how it was described. Swift to send. Packaging was good. The packaging was sturdy. The package came on time.I would buy from this seller again. Good experience.
z*****l,21-08-2023,"Performance:Terbaik  Alhamdulillah. Barang selamat sampai. Packaging ok-ok. Harga ok untuk phone holder berkualiti & berjenama. Dah try pasang kat baby drac. So far ok, gegar-gegar pun tak jatuh. Pakai hp poco f3. Boleh tahan besar and berat but still tak jatuh phone holder ni. Worth it. 👍🏻"
shahrizul58,15-03-2023,Performance:Good Stability:Kukuh Pada Cermin  Item already received in good condition and item pun okey cuma saya lekat dekat dashboard tak berapa kukuh bila lekat dekat cermin kukuh. Sangat berbaloi very recommended
nuraiminorzani,28-06-2023,Puas hati dengan barang yang diterima  Warranty 2 years  Belum pasang lagi .  Harap boleh guna lama atas dasboard .  Harga berbaloi  Saya suka ..  Penghantaran pon laju
seventhscream,24-03-2024,Stability:Good Performance:Good  Received in good condition. Ugreen is an established company and don't worry it's quality is guaranteed good enough for day use.. thanks seller very appreciated it.and courier service too 👍🏻💪🏻
h*****r,23-10-2023,"Received parcel with fast delivery! The phone holder looks good, i had try to put my iphone with thick casing, and it hold really tight.. i love it"
